ファイル対象年月,交通種別,交通機関名,当年(月),前年(月),対前年同月比,当年(累計),前年(累計),対前年同期比
2024-09,フェリー,本土 ～ 隠岐,21805.0,20058.0,108.7,177099.0,170305.0,104.0
2024-09,高速船,本土 ～ 隠岐,7970.0,7819.0,101.9,67777.0,70909.0,95.6
2024-10,,出雲縁結び ～ 羽田,63002.0,53949.0,116.8,500839.0,458462.0,109.2
2024-10,,出雲縁結び ～ 大阪,18122.0,15905.0,113.9,146137.0,129654.0,112.7
2024-10,,出雲縁結び ～ 福岡,5051.0,4793.0,105.4,42429.0,38532.0,110.1
2024-10,,出雲縁結び ～ 名古屋,8304.0,10135.0,81.9,67116.0,76089.0,88.2
2024-10,航空機,出雲縁結び ～ 中部,3711.0,0.0,,20377.0,0.0,
2024-10,航空機,出雲縁結び ～ 静岡,3652.0,4309.0,84.8,20110.0,34273.0,58.7
2024-10,航空機,萩・石見 ～ 羽田,12471.0,12603.0,99.0,108533.0,104344.0,104.0
2024-10,フェリー,本土 ～ 隠岐,21763.0,18609.0,116.9,198862.0,188914.0,105.3
2024-10,高速船,本土 ～ 隠岐,7710.0,10803.0,71.4,75487.0,81712.0,92.4
2024-11,,出雲縁結び ～ 羽田,65967.0,64004.0,103.1,566806.0,522466.0,108.5
2024-11,,出雲縁結び ～ 大阪,17604.0,18005.0,97.8,163741.0,147659.0,110.9
2024-11,,出雲縁結び ～ 福岡,5352.0,4960.0,107.9,47781.0,43492.0,109.9
2024-11,,出雲縁結び ～ 名古屋,8259.0,8725.0,94.7,75375.0,84814.0,88.9
2024-11,航空機,出雲縁結び ～ 中部,3467.0,,,23844.0,,
2024-11,航空機,出雲縁結び ～ 静岡,3359.0,4054.0,82.9,23469.0,38327.0,61.2
2024-11,航空機,萩・石見 ～ 羽田,13710.0,13633.0,100.6,122243.0,117977.0,103.6
2024-11,フェリー,本土 ～ 隠岐,19909.0,18302.0,108.8,218771.0,207216.0,105.6
2024-11,高速船,本土 ～ 隠岐,5840.0,4597.0,127.0,81327.0,86309.0,94.2
2024-12,,出雲縁結び ～ 羽田,52326.0,46103.0,113.5,619132.0,568569.0,108.9
2024-12,,出雲縁結び ～ 大阪,15316.0,15611.0,98.1,179057.0,163270.0,109.7
2024-12,,出雲縁結び ～ 福岡,4577.0,4624.0,99.0,52358.0,48116.0,108.8
2024-12,,出雲縁結び ～ 名古屋,7458.0,6765.0,110.2,82833.0,91579.0,90.4
2024-12,航空機,出雲縁結び ～ 中部,2911.0,,,26755.0,,
2024-12,航空機,出雲縁結び ～ 静岡,3266.0,3655.0,89.4,26735.0,41982.0,63.7
2024-12,航空機,萩・石見 ～ 羽田,11650.0,12419.0,93.8,133893.0,130396.0,102.7
2024-12,フェリー,本土 ～ 隠岐,18243.0,16389.0,111.3,237014.0,223605.0,106.0
2024-12,高速船,本土 ～ 隠岐,0.0,1589.0,0.0,81327.0,87898.0,92.5
2025-01,,出雲縁結び ～ 羽田,46827.0,38404.0,121.9,46827.0,38404.0,121.9
2025-01,,出雲縁結び ～ 大阪,13905.0,14589.0,95.3,13905.0,14589.0,95.3
2025-01,,出雲縁結び ～ 福岡,3894.0,4193.0,92.9,3894.0,4193.0,92.9
2025-01,,出雲縁結び ～ 名古屋小牧,6120.0,5633.0,108.6,6120.0,5633.0,108.6
2025-01,航空機,出雲縁結び ～ 静岡,2611.0,899.0,290.4,2611.0,899.0,290.4
2025-01,航空機,出雲縁結び ～ 名古屋中部,2504.0,,,2504.0,,
2025-01,航空機,萩・石見 ～ 羽田,9653.0,8648.0,111.6,9653.0,8648.0,111.6
2025-01,フェリー,本土 ～ 隠岐,15033.0,14602.0,103.0,15033.0,14602.0,103.0
2025-01,高速船,本土 ～ 隠岐,0.0,0.0,,0.0,0.0,
2025-02,,出雲縁結び ～ 羽田,47476.0,44485.0,106.7,94303.0,82889.0,113.8
2025-02,,出雲縁結び ～ 大阪,12311.0,12955.0,95.0,26216.0,27544.0,95.2
2025-02,,出雲縁結び ～ 福岡,3656.0,4162.0,87.8,7550.0,8355.0,90.4
2025-02,,出雲縁結び ～ 名古屋,6343.0,6691.0,94.8,12463.0,12324.0,101.1
